result_schema_version,generated_at_utc,git_commit,git_dirty,project,mode,status,reason,run_dir,loc_c,c_function_count,c_parameter_count,c_pointer_parameter_count,c_pointer_parameter_density,c_cyclomatic_complexity_total,c_cyclomatic_complexity_average,unsupported_function_count,unsupported_construct_count,unsupported_constructs,analysis_backend,analysis_backend_reason,primary_function,primary_expected_eligibility,primary_plan_status,primary_eligible,primary_fully_safe_accepted,primary_outcome,target_functions,target_count,target_fully_safe_accepted_units,target_acceptance_rate,target_outcomes,total_units,eligible_units,candidate_safe_units,synthesis_supported_units,generated_units,compile_success_units,policy_safe_units,behaviorally_validated_units,fully_safe_accepted_units,fully_safe_translation_unit_acceptance_rate,eligibility_counts,candidate_decision_counts,synthesis_support_counts,role_outcome_counts,complete_project_policy_safe,complete_project_behaviorally_validated,idiom_success_counts,failure_categories,loc_rust_baseline,loc_rust_safemap,c2rust_compile,safemap_compile,c2rust_tests,safemap_tests,safemap_cargo_check_status,safemap_cargo_check_reason,safemap_cargo_test_status,safemap_cargo_test_reason,safemap_clippy_status,safemap_clippy_reason,safemap_differential_status,safemap_differential_reason,c_sanitizer_status,c_sanitizer_reason,validation_status_counts,c2rust_unsafe_blocks,safemap_unsafe_blocks,c2rust_raw_pointers,safemap_raw_pointers,clippy_warnings,miri_status,miri_reason,miri_passed,miri_failed,miri_diagnostics,differential_pass_rate,repair_attempts,llm_calls,llm_input_tokens,llm_output_tokens
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,malloc_free_constant,safemap_without_safe_signatures,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_safe_signatures/.safemap/runs/20260811T033019Z-malloc_free_constant-175cebeb,15,2,0,0,0.0,2,1.0,0,0,{},libclang,,make_answer,safe_translatable_with_api_change,planned,True,False,not_accepted,make_answer,1,0,0.0,"{""not_accepted"": 1}",2,2,2,1,1,0,0,0,0,0.0,"{""safe_translatable_with_api_change"": 2}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 0, ""planned"": 2}}","{""validation_failed"": 1}",0,5,,False,,,failed,,failed,,failed,,failed,Could not build translated Rust program,passed,,"{""failed"": 4, ""passed"": 1, ""skipped"": 1}",,0,,1,,skipped,Disabled,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,malloc_free_constant,safemap_without_dependency_grouping,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_dependency_grouping/.safemap/runs/20260811T033019Z-malloc_free_constant-a37e888d,15,2,0,0,0.0,2,1.0,0,0,{},libclang,,make_answer,safe_translatable_with_api_change,planned,True,True,accepted,make_answer,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable_with_api_change"": 2}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 1, ""planned"": 2}}",{},0,5,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,malloc_free_constant,safemap_without_idiom_plans,no_supported_synthesis,No output remained when the idiom plans component was disabled.,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_idiom_plans/.safemap/runs/20260811T033020Z-malloc_free_constant-106e08e0,15,2,0,0,0.0,2,1.0,0,0,{},libclang,,make_answer,safe_translatable_with_api_change,planned,True,False,not_accepted,make_answer,1,0,0.0,"{""not_accepted"": 1}",2,2,2,0,0,0,0,0,0,0.0,"{""safe_translatable_with_api_change"": 2}","{""candidate_safe"": 2}","{""not_implemented"": 2}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,{},{},0,0,,,,,,,,,,,,,,,{},,,,,,,,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,malloc_free_constant,safemap_without_validation_feedback,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_validation_feedback/.safemap/runs/20260811T033021Z-malloc_free_constant-c4c967b3,15,2,0,0,0.0,2,1.0,0,0,{},libclang,,make_answer,safe_translatable_with_api_change,planned,True,True,accepted,make_answer,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable_with_api_change"": 2}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 1, ""planned"": 2}}",{},0,5,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,malloc_vec,safemap_deterministic,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_deterministic/.safemap/runs/20260811T033022Z-malloc_vec-ba9fd98e,20,2,1,0,0.0,5,2.5,0,0,{},libclang,,make_sequence,safe_translatable_with_api_change,planned,True,True,accepted,make_sequence,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable_with_api_change"": 2}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 1, ""planned"": 2}}",{},0,6,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,malloc_vec,safemap_without_pointer_roles,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_pointer_roles/.safemap/runs/20260811T033023Z-malloc_vec-1708691d,20,2,1,0,0.0,5,2.5,0,0,{},libclang,,make_sequence,safe_translatable_with_api_change,planned,True,True,accepted,make_sequence,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable_with_api_change"": 2}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 1, ""planned"": 2}}",{},0,6,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,malloc_vec,safemap_without_safe_signatures,no_supported_synthesis,No output remained when the safe signatures component was disabled.,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_safe_signatures/.safemap/runs/20260811T033024Z-malloc_vec-5f6aac6a,20,2,1,0,0.0,5,2.5,0,0,{},libclang,,make_sequence,safe_translatable_with_api_change,planned,True,False,not_accepted,make_sequence,1,0,0.0,"{""not_accepted"": 1}",2,2,2,0,0,0,0,0,0,0.0,"{""safe_translatable_with_api_change"": 2}","{""candidate_safe"": 2}","{""not_implemented"": 2}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 0, ""planned"": 2}}",{},0,0,,,,,,,,,,,,,,,{},,,,,,,,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,malloc_vec,safemap_without_dependency_grouping,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_dependency_grouping/.safemap/runs/20260811T033024Z-malloc_vec-64ee24f7,20,2,1,0,0.0,5,2.5,0,0,{},libclang,,make_sequence,safe_translatable_with_api_change,planned,True,True,accepted,make_sequence,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable_with_api_change"": 2}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 1, ""planned"": 2}}",{},0,6,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,malloc_vec,safemap_without_idiom_plans,no_supported_synthesis,No output remained when the idiom plans component was disabled.,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_idiom_plans/.safemap/runs/20260811T033025Z-malloc_vec-3f26e7f4,20,2,1,0,0.0,5,2.5,0,0,{},libclang,,make_sequence,safe_translatable_with_api_change,planned,True,False,not_accepted,make_sequence,1,0,0.0,"{""not_accepted"": 1}",2,2,2,0,0,0,0,0,0,0.0,"{""safe_translatable_with_api_change"": 2}","{""candidate_safe"": 2}","{""not_implemented"": 2}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,{},{},0,0,,,,,,,,,,,,,,,{},,,,,,,,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,malloc_vec,safemap_without_validation_feedback,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_validation_feedback/.safemap/runs/20260811T033025Z-malloc_vec-7de0d6da,20,2,1,0,0.0,5,2.5,0,0,{},libclang,,make_sequence,safe_translatable_with_api_change,planned,True,True,accepted,make_sequence,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable_with_api_change"": 2}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""manual_allocation"": {""accepted"": 1, ""planned"": 2}}",{},0,6,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,min_max_outputs,safemap_deterministic,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_deterministic/.safemap/runs/20260811T033026Z-min_max_outputs-833bdf04,14,2,4,2,0.5,4,2.0,0,0,{},libclang,,min_max_pair,safe_translatable_with_api_change,planned,True,True,accepted,min_max_pair,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""output_parameter"": {""accepted"": 1, ""planned"": 1}}",{},0,5,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,min_max_outputs,safemap_without_pointer_roles,no_supported_synthesis,No output remained when the pointer roles component was disabled.,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_pointer_roles/.safemap/runs/20260811T033027Z-min_max_outputs-9b9e343a,14,2,4,2,0.5,4,2.0,0,0,{},libclang,,min_max_pair,safe_translatable_with_api_change,rejected,False,False,requires_manual_refactor,min_max_pair,1,0,0.0,"{""requires_manual_refactor"": 1}",2,1,1,0,0,0,0,0,0,0.0,"{""requires_manual_refactor"": 1, ""safe_translatable"": 1}","{""candidate_safe"": 1, ""manual_refactor_required"": 1}","{""not_applicable"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,{},"{""requires_manual_refactor"": 1}",0,0,,,,,,,,,,,,,,,{},,,,,,,,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,min_max_outputs,safemap_without_safe_signatures,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_safe_signatures/.safemap/runs/20260811T033027Z-min_max_outputs-b804162a,14,2,4,2,0.5,4,2.0,0,0,{},libclang,,min_max_pair,safe_translatable_with_api_change,planned,True,False,not_accepted,min_max_pair,1,0,0.0,"{""not_accepted"": 1}",2,2,2,1,1,0,0,0,0,0.0,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""output_parameter"": {""accepted"": 0, ""planned"": 1}}","{""validation_failed"": 1}",0,5,,False,,,failed,,failed,,failed,,failed,Could not build translated Rust program,passed,,"{""failed"": 4, ""passed"": 1, ""skipped"": 1}",,0,,2,,skipped,Disabled,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,min_max_outputs,safemap_without_dependency_grouping,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_dependency_grouping/.safemap/runs/20260811T033028Z-min_max_outputs-499ca9f1,14,2,4,2,0.5,4,2.0,0,0,{},libclang,,min_max_pair,safe_translatable_with_api_change,planned,True,True,accepted,min_max_pair,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""output_parameter"": {""accepted"": 1, ""planned"": 1}}",{},0,5,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,min_max_outputs,safemap_without_idiom_plans,no_supported_synthesis,No output remained when the idiom plans component was disabled.,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_idiom_plans/.safemap/runs/20260811T033029Z-min_max_outputs-bed0e9e3,14,2,4,2,0.5,4,2.0,0,0,{},libclang,,min_max_pair,safe_translatable_with_api_change,rejected,True,False,safe_translatable_with_api_change,min_max_pair,1,0,0.0,"{""safe_translatable_with_api_change"": 1}",2,2,2,0,0,0,0,0,0,0.0,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""not_implemented"": 2}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,{},{},0,0,,,,,,,,,,,,,,,{},,,,,,,,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:29:30Z,7f15f2f23ce0cf536792c3eee288791324ae530c,False,min_max_outputs,safemap_without_validation_feedback,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-7f15f2f/ablation/safemap_without_validation_feedback/.safemap/runs/20260811T033029Z-min_max_outputs-0f9f0221,14,2,4,2,0.5,4,2.0,0,0,{},libclang,,min_max_pair,safe_translatable_with_api_change,planned,True,True,accepted,min_max_pair,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""output_parameter"": {""accepted"": 1, ""planned"": 1}}",{},0,5,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
